id,Title,Director,Year,Genre,Description,Image,favorites,favMovieID,UserId
4941,The Hunger Games: Catching Fire,Francis Lawrence,2013,"Action, Adventure, Sci-Fi",Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.,https://m.media-amazon.com/images/M/MV5BMTAyMjQ3OTAxMzNeQTJeQWpwZ15BbWU4MDU0NzA1MzAx._V1_.jpg,0,NULL,NULL
4942,Birdemic 2: The Resurrection,James Nguyen,2013,"Action, Comedy, Horror","A platoon of eagles and vultures attack Hollywood, California. Why did the eagles and vultures attack? Who will survive?",https://upload.wikimedia.org/wikipedia/en/thumb/8/8c/Birdemic_2_-_The_Resurrection_%282013%29_poster.jpg/220px-Birdemic_2_-_The_Resurrection_%282013%29_poster.jpg,0,NULL,NULL
4943,A Pact,Denis Dercourt,2013,"Drama, Thriller",Former East Germany in the early 1980s. Paul tricked Georg into handing over his girlfriend Anna to him. But the pact they made stipulated that Georg can have her back when he wishes. Years...,https://i5.walmartimages.com/asr/e660d291-54cb-4fc3-aaf9-085b965aebcb_1.e93a2676190b4d47b0a734af1e6fd418.jpeg?odnWidth=450&odnHeight=450&odnBg=ffffff,0,NULL,NULL
4944,Elysium,Neill Blomkamp,2013,"Action, Drama, Sci-Fi","In the year 2154, the very wealthy live on a man-made space station while the rest of the population resides on a ruined Earth. A man takes on a mission that could bring equality to the polarized worlds.",https://images-na.ssl-images-amazon.com/images/I/51XAaLntE1L._AC_.jpg,0,NULL,NULL
4945,Captain Phillips,Paul Greengrass,2013,"Biography, Drama, Thriller","The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the US-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.",https://bloximages.chicago2.vip.townnews.com/kokomotribune.com/content/tncms/assets/v3/editorial/5/a8/5a870314-ff7c-5e6d-804d-e0a4c1858b23/53e66b805440e.image.jpg?resize=500%2C691,0,NULL,NULL
4946,The Wolverine,James Mangold,2013,"Action, Adventure, Fantasy","When Wolverine is summoned to Japan by an old acquaintance, he is embroiled in a conflict that forces him to confront his own demons.","https://m.media-amazon.com/images/M/MV5BNzg1MDQxMTQ2OF5BMl5BanBnXkFtZTcwMTk3MjAzOQ@@._V1_.jpg
",0,NULL,NULL
4947,The Secret Life of Walter Mitty,Ben Stiller,2013,"Adventure, Comedy, Drama","A day-dreamer escapes his anonymous life by disappearing into a world of fantasies filled with heroism, romance and action. When his job along with that of his co-worker are threatened, he takes action in the real world embarking on a global journey that turns into an adventure more extraordinary than anything he could have ever imagined.","https://i.pinimg.com/originals/ea/83/1d/ea831dbc77802111e9f3e4dc4ffe6ba5.jpg
",0,NULL,NULL
4948,Gangster Squad,Ruben Fleischer,2013,"Action, Crime, Drama","Los Angeles, 1949: A secret crew of police officers led by two determined sergeants work together in an effort to take down the ruthless mob king Mickey Cohen who runs the city.","https://m.media-amazon.com/images/M/MV5BMTcwMjAyMTUzMl5BMl5BanBnXkFtZTcwODgxNzk1OA@@._V1_UY1200_CR90,0,630,1200_AL_.jpg",0,NULL,NULL
4949,Go for Sisters,John Sayles,2013,"Crime, Drama, Thriller","Fontayne is enlisted by Bernice- her estranged old friend and current parole officer - along with a disgraced cop to search for Bernice's son, who went missing on the Mexican border.",https://i.pinimg.com/originals/5e/59/1b/5e591baa12479640403c367b50c1c77d.jpg,0,NULL,NULL
4950,The Mortal Instruments: City of Bones,Harald Zwart,2013,"Action, Adventure, Drama","When her mother disappears, Clary Fray learns that she descends from a line of warriors who protect our world from demons. She joins forces with others like her and heads into a dangerous alternate New York called Downworld.",https://lh3.googleusercontent.com/proxy/AxhkjBWmxylTxuHweyG_XXHlegwwrVuDnvdZB6dDj9e_BbPQoQ6JhzEkjEmkoXBhFCLi5IG2rPNIiABQ7LcyqUwiILY3-BzGtTD9gOtghgQySvz3X0dnj96F-I8PMiKFIlvFg3vJvjWzON8,0,NULL,NULL
4951,The Grandmaster,Kar Wai Wong,2013,"Action, Biography, Drama","The story of martial-arts master Ip Man, the man who trained Bruce Lee.",https://images-na.ssl-images-amazon.com/images/I/81d7CfmUGnL._AC_SL1433_.jpg,0,NULL,NULL
4952,The Conjuring,James Wan,2013,"Horror, Thriller",Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,https://images-na.ssl-images-amazon.com/images/I/81NwnEjW27L._AC_SL1500_.jpg,0,NULL,NULL
4953,Dark Skies,Scott Stewart,2013,"Horror, Sci-Fi, Thriller","As the Barret family's peaceful suburban life is rocked by an escalating series of disturbing events, they come to learn that a terrifying and deadly force is after them.",https://images-na.ssl-images-amazon.com/images/I/71EUUSO2JJL._AC_SY679_.jpg,0,NULL,NULL
