id,Title,Director,Year,Genre,Description,Image,favorites,favMovieID,UserId
1,Four Heads Are Better Than One,Georges Méliès,1898,"Short, Comedy","One of the greatest of black art pictures. The conjurer appears before the audience, with his head in its proper place. He then removes his head, and throwing it in the air, it appears on ...",http://ia.media-imdb.com/images/M/MV5BNzMxODQ2NzQyMl5BMl5BanBnXkFtZTcwNTExODEyMQ@@._V1_SX300.jpg,0,NULL,NULL
2,The One-Man Band,Georges Méliès,1900,"Short, Comedy",A band-leader assembles an orchestra by mystifying means.,http://ia.media-imdb.com/images/M/MV5BNzMxODQ2NzQyMl5BMl5BanBnXkFtZTcwNTExODEyMQ@@._V1_SX300.jpg,0,NULL,NULL
3,"Searching Ruins on Broadway, Galveston, for Dead Bodies",Albert E. Smith,1900,"Short, Documentary",This shows the heart of the tremendous drifts in the east end of Galveston. Hundreds of bodies are concealed in these immense masses...,N/A,0,NULL,NULL
4,The Delights of Automobiling,Cecil M. Hepworth,1900,"Short, Comedy","This is altogether a remarkable picture and of very fine photographic value. It shows a picturesque country road, down which comes a two-seated automobile carrying four people. As the ...",http://ia.media-imdb.com/images/M/MV5BMTYwOTU3NTc2OV5BMl5BanBnXkFtZTYwNTg4Mjg4._V1_SX300.jpg,0,NULL,NULL
5,Sherlock Holmes Baffled,Arthur Marvin,1900,"Short, Comedy, Fantasy","Sherlock Holmes enters his drawing room to find it being burgled, but on confronting the villain is surprised when the latter disappears. Holmes initially attempts to ignore the event by ...",N/A,0,NULL,NULL
6,Grandma Threading Her Needle,George Albert Smith,1900,"Comedy, Short","A picture true to life, and a most excellent subject. Poor old grandma is seated in her chair, vainly attempting to engage a thread in the eye of the needle. The facial contortions that are...",N/A,0,NULL,NULL
7,The Music Lover,Georges Méliès,1903,"Short, Comedy, Music",The leader of a marching band demonstrates an unusual way of writing music.,http://ia.media-imdb.com/images/M/MV5BNzMxODQ2NzQyMl5BMl5BanBnXkFtZTcwNTExODEyMQ@@._V1_SX300.jpg,0,NULL,NULL
8,The Monster,Georges Méliès,1903,"Short, Fantasy",An Egyptian prince has lost his beloved wife and he has sought a dervish who dwells at the base of the sphinx. The prince promises him a vast fortune if the dervish will only give him the ...,N/A,0,NULL,NULL
9,The Infernal Boiling Pot,Georges Méliès,1903,"Short, Fantasy","Two demons throw helpless captives into a boiling cauldron, and then try to summon forth their spirits.",http://ia.media-imdb.com/images/M/MV5BNzMxODQ2NzQyMl5BMl5BanBnXkFtZTcwNTExODEyMQ@@._V1_SX300.jpg,0,NULL,NULL
10,The Cook in Trouble,Georges Méliès,1904,"Short, Comedy, Fantasy","A cook has his hands full with three mischievous devils, who pop in and out of his kitchen.",http://ia.media-imdb.com/images/M/MV5BMTYwOTU3NTc2OV5BMl5BanBnXkFtZTYwNTg4Mjg4._V1_SX300.jpg,0,NULL,NULL
11,The Scheming Gambler's Paradise,Georges Méliès,1905,Short,"A combination gambling den and bawdy house is set up so that croupiers, patrons, prostitutes, and the...",http://ia.media-imdb.com/images/M/MV5BMTYwOTU3NTc2OV5BMl5BanBnXkFtZTYwNTg4Mjg4._V1_SX300.jpg,0,NULL,NULL
12,The Mysterious Retort,Georges Méliès,1906,"Short, Fantasy, Mystery","A wizard sleeps at a table in his well-appointed sitting room. From a drawer in the table, a snake appears...",http://ia.media-imdb.com/images/M/MV5BMTYwOTU3NTc2OV5BMl5BanBnXkFtZTYwNTg4Mjg4._V1_SX300.jpg,0,NULL,NULL
13,The Story of the Kelly Gang,Charles Tait,1906,"Biography, Crime, Drama",True story of notorious Australian outlaw Ned Kelly (1855-80).,N/A,0,NULL,NULL
14,The Eclipse: Courtship of the Sun and Moon,Georges Méliès,1907,"Short, Fantasy, Romance","An astronomer of age, wealth, and erudition conducts classes in his home. His students are not always respectful, and he suffers their pranks and high jinks. Then, at noon, everything ...",N/A,0,NULL,NULL
15,"Princess Nicotine; or, The Smoke Fairy",J. Stuart Blackton,1909,"Comedy, Short, Fantasy","A smoker falls asleep, and two mischievious fairies play with his pipe. He discovers this, and imprisons them in a cigar box. He removes a flower from the box, which contains a fairy ...",N/A,0,NULL,NULL
